parasite,n_blocks,friedman_Q,friedman_df,friedman_p,spearman_rho_pooled,spearman_p,mean_rho_perblock
T. congolense,8,8.518518518518519,4,0.07432788702009863,-0.41897524853560997,0.007126897225572458,-0.45767905155237976
T. evansi,8,14.507462686567164,4,0.0058397577676041765,-0.5089074985744101,7.98433813961685e-4,-0.8608899433492848
