parasite,n_blocks,friedman_Q,friedman_p,spearman_rho_pooled,spearman_p
T. congolense,8,27.75,1.4015901540776108e-5,-0.6982692043896552,5.461232920779563e-7
T. evansi,8,30.32,4.212471841127071e-6,-0.8826433084156096,5.030591770281982e-14
