contrast,full_p,loo_p_min,loo_p_max,loo_significant,loo_runs,stable
evansi 100mg vs NC,0.007812500000000002,0.015625000000000003,0.015625000000000003,8,8,TRUE
evansi 10mg vs NC,0.007812500000000002,0.015625000000000003,0.015625000000000003,8,8,TRUE
evansi 0.5mg vs NC,0.007812500000000002,0.015625000000000003,0.015625000000000003,8,8,TRUE
congolense 100mg vs NC,0.014147403886021537,0.015625000000000003,0.022254124823099145,8,8,TRUE
plant superiority,1,0.5293681061847979,1,0,8,TRUE
