part,parasite,A_indica,M_oleifera,diff
leaves,T. congolense,25.539166666666667,4.023333333333333,-21.515833333333333
leaves,T. evansi,4.4377778333333335,14.328333333333333,9.8905555
roots,T. congolense,18.761666666666667,22.803333333333335,4.041666666666668
roots,T. evansi,4.9750000000000005,16.2925,11.317499999999999
seeds,T. congolense,37.145,37.145,0
seeds,T. evansi,27.033333333333335,7.476666666666667,-19.55666666666667
stem bark,T. congolense,8.41,4.8500000000000005,-3.5599999999999996
stem bark,T. evansi,14.594233333333333,32.733333333333334,18.1391
