plant,part,parasite,group,concentration_mgml,timepoint,weight_g,animal_dead,data_flag
A. indica,leaves,T. congolense,0.5mg/ml,0.5,Post-Infection,21,FALSE,NA
A. indica,leaves,T. congolense,0.01mg/ml,0.01,Pre-Infection,22.9,FALSE,NA
A. indica,leaves,T. congolense,0.01mg/ml,0.01,Infection,22,FALSE,NA
A. indica,leaves,T. congolense,0.01mg/ml,0.01,Post-Infection,17,FALSE,NA
A. indica,leaves,T. congolense,0.005mg/ml,0.005,Pre-Infection,21.7,FALSE,NA
A. indica,leaves,T. congolense,0.005mg/ml,0.005,Infection,20,FALSE,NA
A. indica,leaves,T. congolense,0.005mg/ml,0.005,Post-Infection,15.4,FALSE,NA
A. indica,leaves,T. congolense,Negative Control,NA,Pre-Infection,22,FALSE,NA
A. indica,leaves,T. congolense,Negative Control,NA,Infection,16.7,FALSE,NA
A. indica,leaves,T. congolense,Negative Control,NA,Post-Infection,NA,TRUE,missing = animal died before measurement
A. indica,leaves,T. congolense,Positive Control,NA,Pre-Infection,21.8,FALSE,NA
A. indica,leaves,T. congolense,Positive Control,NA,Infection,22.3,FALSE,NA
A. indica,leaves,T. congolense,Positive Control,NA,Post-Infection,24.1,FALSE,NA
M. oleifera,seeds,T. congolense,100mg/ml,100,Pre-Infection,20.1,FALSE,NA
M. oleifera,seeds,T. congolense,100mg/ml,100,Infection,22,FALSE,NA
M. oleifera,seeds,T. congolense,100mg/ml,100,Post-Infection,23.2,FALSE,NA
M. oleifera,seeds,T. congolense,10mg/ml,10,Pre-Infection,23.7,FALSE,NA
M. oleifera,seeds,T. congolense,10mg/ml,10,Infection,24.2,FALSE,NA
M. oleifera,seeds,T. congolense,10mg/ml,10,Post-Infection,20.1,FALSE,NA
M. oleifera,seeds,T. congolense,0.5mg/ml,0.5,Pre-Infection,19.9,FALSE,NA
M. oleifera,seeds,T. congolense,0.5mg/ml,0.5,Infection,19,FALSE,NA
M. oleifera,seeds,T. congolense,0.5mg/ml,0.5,Post-Infection,17.2,FALSE,NA
M. oleifera,seeds,T. congolense,0.01mg/ml,0.01,Pre-Infection,24,FALSE,NA
M. oleifera,seeds,T. congolense,0.01mg/ml,0.01,Infection,22.1,FALSE,NA
M. oleifera,seeds,T. congolense,0.01mg/ml,0.01,Post-Infection,19.5,FALSE,NA
M. oleifera,seeds,T. congolense,0.005mg/ml,0.005,Pre-Infection,22.8,FALSE,NA
M. oleifera,seeds,T. congolense,0.005mg/ml,0.005,Infection,24,FALSE,NA
M. oleifera,seeds,T. congolense,0.005mg/ml,0.005,Post-Infection,14.2,FALSE,NA
M. oleifera,seeds,T. congolense,Negative Control,NA,Pre-Infection,20.1,FALSE,NA
M. oleifera,seeds,T. congolense,Negative Control,NA,Infection,18.9,FALSE,NA
M. oleifera,seeds,T. congolense,Negative Control,NA,Post-Infection,17,FALSE,NA
M. oleifera,seeds,T. congolense,Positive Control,NA,Pre-Infection,21.8,FALSE,NA
M. oleifera,seeds,T. congolense,Positive Control,NA,Infection,21.9,FALSE,NA
M. oleifera,seeds,T. congolense,Positive Control,NA,Post-Infection,24,FALSE,NA
M. oleifera,roots,T. congolense,100mg/ml,100,Pre-Infection,20,FALSE,NA
M. oleifera,roots,T. congolense,100mg/ml,100,Infection,22.5,FALSE,NA
M. oleifera,roots,T. congolense,100mg/ml,100,Post-Infection,25.3,FALSE,NA
M. oleifera,roots,T. congolense,10mg/ml,10,Pre-Infection,23.2,FALSE,NA
