plant,part,parasite,group,concentration_mgml,timepoint,weight_g,animal_dead,data_flag
M. oleifera,roots,T. congolense,10mg/ml,10,Infection,24,FALSE,NA
M. oleifera,roots,T. congolense,10mg/ml,10,Post-Infection,24.1,FALSE,NA
M. oleifera,roots,T. congolense,0.5mg/ml,0.5,Pre-Infection,19.8,FALSE,NA
M. oleifera,roots,T. congolense,0.5mg/ml,0.5,Infection,21,FALSE,NA
M. oleifera,roots,T. congolense,0.5mg/ml,0.5,Post-Infection,22.7,FALSE,NA
M. oleifera,roots,T. congolense,0.01mg/ml,0.01,Pre-Infection,20.4,FALSE,NA
M. oleifera,roots,T. congolense,0.01mg/ml,0.01,Infection,22.1,FALSE,NA
M. oleifera,roots,T. congolense,0.01mg/ml,0.01,Post-Infection,19,FALSE,NA
M. oleifera,roots,T. congolense,0.005mg/ml,0.005,Pre-Infection,22,FALSE,NA
M. oleifera,roots,T. congolense,0.005mg/ml,0.005,Infection,20,FALSE,NA
M. oleifera,roots,T. congolense,0.005mg/ml,0.005,Post-Infection,NA,TRUE,missing = animal died before measurement
M. oleifera,roots,T. congolense,Negative Control,NA,Pre-Infection,19.7,FALSE,NA
M. oleifera,roots,T. congolense,Negative Control,NA,Infection,15,FALSE,NA
M. oleifera,roots,T. congolense,Negative Control,NA,Post-Infection,NA,TRUE,missing = animal died before measurement
M. oleifera,roots,T. congolense,Positive Control,NA,Pre-Infection,19.8,FALSE,NA
M. oleifera,roots,T. congolense,Positive Control,NA,Infection,22,FALSE,NA
M. oleifera,roots,T. congolense,Positive Control,NA,Post-Infection,23.6,FALSE,NA
M. oleifera,stem bark,T. congolense,100mg/ml,100,Pre-Infection,22.6,FALSE,NA
M. oleifera,stem bark,T. congolense,100mg/ml,100,Infection,22,FALSE,NA
M. oleifera,stem bark,T. congolense,100mg/ml,100,Post-Infection,23.7,FALSE,NA
M. oleifera,stem bark,T. congolense,10mg/ml,10,Pre-Infection,21,FALSE,NA
M. oleifera,stem bark,T. congolense,10mg/ml,10,Infection,23.1,FALSE,NA
M. oleifera,stem bark,T. congolense,10mg/ml,10,Post-Infection,22.9,FALSE,NA
M. oleifera,stem bark,T. congolense,0.5mg/ml,0.5,Pre-Infection,19.6,FALSE,NA
M. oleifera,stem bark,T. congolense,0.5mg/ml,0.5,Infection,18,FALSE,NA
M. oleifera,stem bark,T. congolense,0.5mg/ml,0.5,Post-Infection,20.4,FALSE,NA
M. oleifera,stem bark,T. congolense,0.01mg/ml,0.01,Pre-Infection,23.1,FALSE,NA
M. oleifera,stem bark,T. congolense,0.01mg/ml,0.01,Infection,23.9,FALSE,NA
M. oleifera,stem bark,T. congolense,0.01mg/ml,0.01,Post-Infection,24,FALSE,NA
M. oleifera,stem bark,T. congolense,0.005mg/ml,0.005,Pre-Infection,20.2,FALSE,NA
M. oleifera,stem bark,T. congolense,0.005mg/ml,0.005,Infection,22.8,FALSE,NA
