plant,part,parasite,group,concentration_mgml,timepoint,pcv,animal_dead,data_flag
M. oleifera,stem bark,T. evansi,Negative Control,NA,Post-Infection,36,FALSE,NA
M. oleifera,stem bark,T. evansi,Positive Control,NA,Pre-Infection,51,FALSE,NA
M. oleifera,stem bark,T. evansi,Positive Control,NA,Infection,50,FALSE,NA
M. oleifera,stem bark,T. evansi,Positive Control,NA,Post-Infection,52,FALSE,NA
M. oleifera,leaves,T. evansi,100mg/ml,100,Pre-Infection,59.67,FALSE,NA
M. oleifera,leaves,T. evansi,100mg/ml,100,Infection,51.33,FALSE,NA
M. oleifera,leaves,T. evansi,100mg/ml,100,Post-Infection,54.33,FALSE,NA
M. oleifera,leaves,T. evansi,10mg/ml,10,Pre-Infection,49.33,FALSE,NA
M. oleifera,leaves,T. evansi,10mg/ml,10,Infection,48.33,FALSE,NA
M. oleifera,leaves,T. evansi,10mg/ml,10,Post-Infection,52,FALSE,NA
M. oleifera,leaves,T. evansi,0.5mg/ml,0.5,Pre-Infection,53,FALSE,NA
M. oleifera,leaves,T. evansi,0.5mg/ml,0.5,Infection,46,FALSE,NA
M. oleifera,leaves,T. evansi,0.5mg/ml,0.5,Post-Infection,50.33,FALSE,NA
M. oleifera,leaves,T. evansi,0.01mg/ml,0.01,Pre-Infection,50.67,FALSE,NA
M. oleifera,leaves,T. evansi,0.01mg/ml,0.01,Infection,50.67,FALSE,NA
M. oleifera,leaves,T. evansi,0.01mg/ml,0.01,Post-Infection,49,FALSE,NA
M. oleifera,leaves,T. evansi,0.005mg/ml,0.005,Pre-Infection,50.33,FALSE,NA
M. oleifera,leaves,T. evansi,0.005mg/ml,0.005,Infection,50.33,FALSE,NA
M. oleifera,leaves,T. evansi,0.005mg/ml,0.005,Post-Infection,44,FALSE,NA
M. oleifera,leaves,T. evansi,Negative Control,NA,Pre-Infection,48.33,FALSE,NA
M. oleifera,leaves,T. evansi,Negative Control,NA,Infection,46.67,FALSE,NA
M. oleifera,leaves,T. evansi,Negative Control,NA,Post-Infection,45,FALSE,NA
M. oleifera,leaves,T. evansi,Positive Control,NA,Pre-Infection,50,FALSE,NA
M. oleifera,leaves,T. evansi,Positive Control,NA,Infection,50,FALSE,NA
M. oleifera,leaves,T. evansi,Positive Control,NA,Post-Infection,52,FALSE,NA
