plant,part,parasite,group,concentration_mgml,timepoint,pcv,animal_dead,data_flag
A. indica,leaves,T. congolense,0.01mg/ml,0.01,Pre-Infection,50,FALSE,NA
A. indica,leaves,T. congolense,0.01mg/ml,0.01,Infection,47,FALSE,NA
A. indica,leaves,T. congolense,0.01mg/ml,0.01,Post-Infection,36.1,FALSE,NA
A. indica,leaves,T. congolense,0.005mg/ml,0.005,Pre-Infection,54,FALSE,NA
A. indica,leaves,T. congolense,0.005mg/ml,0.005,Infection,50,FALSE,NA
A. indica,leaves,T. congolense,0.005mg/ml,0.005,Post-Infection,44.6,FALSE,NA
A. indica,leaves,T. congolense,Negative Control,NA,Pre-Infection,51.2,FALSE,NA
A. indica,leaves,T. congolense,Negative Control,NA,Infection,36.4,FALSE,NA
A. indica,leaves,T. congolense,Negative Control,NA,Post-Infection,NA,TRUE,missing = animal died before measurement
A. indica,leaves,T. congolense,Positive Control,NA,Pre-Infection,51,FALSE,NA
A. indica,leaves,T. congolense,Positive Control,NA,Infection,52.5,FALSE,NA
A. indica,leaves,T. congolense,Positive Control,NA,Post-Infection,54,FALSE,NA
M. oleifera,seeds,T. congolense,100mg/ml,100,Pre-Infection,50,FALSE,NA
M. oleifera,seeds,T. congolense,100mg/ml,100,Infection,52.1,FALSE,NA
M. oleifera,seeds,T. congolense,100mg/ml,100,Post-Infection,52,FALSE,NA
M. oleifera,seeds,T. congolense,10mg/ml,10,Pre-Infection,49.6,FALSE,NA
M. oleifera,seeds,T. congolense,10mg/ml,10,Infection,50.4,FALSE,NA
M. oleifera,seeds,T. congolense,10mg/ml,10,Post-Infection,50,FALSE,NA
M. oleifera,seeds,T. congolense,0.5mg/ml,0.5,Pre-Infection,51.5,FALSE,NA
M. oleifera,seeds,T. congolense,0.5mg/ml,0.5,Infection,48.6,FALSE,NA
M. oleifera,seeds,T. congolense,0.5mg/ml,0.5,Post-Infection,36.4,FALSE,NA
M. oleifera,seeds,T. congolense,0.01mg/ml,0.01,Pre-Infection,50.1,FALSE,NA
M. oleifera,seeds,T. congolense,0.01mg/ml,0.01,Infection,45.6,FALSE,NA
M. oleifera,seeds,T. congolense,0.01mg/ml,0.01,Post-Infection,33.7,FALSE,NA
M. oleifera,seeds,T. congolense,0.005mg/ml,0.005,Pre-Infection,55,FALSE,NA
M. oleifera,seeds,T. congolense,0.005mg/ml,0.005,Infection,56.8,FALSE,NA
M. oleifera,seeds,T. congolense,0.005mg/ml,0.005,Post-Infection,55.3,FALSE,NA
M. oleifera,seeds,T. congolense,Negative Control,NA,Pre-Infection,51,FALSE,NA
M. oleifera,seeds,T. congolense,Negative Control,NA,Infection,40.3,FALSE,NA
M. oleifera,seeds,T. congolense,Negative Control,NA,Post-Infection,35.4,FALSE,NA
M. oleifera,seeds,T. congolense,Positive Control,NA,Pre-Infection,51.3,FALSE,NA
M. oleifera,seeds,T. congolense,Positive Control,NA,Infection,53,FALSE,NA
M. oleifera,seeds,T. congolense,Positive Control,NA,Post-Infection,54,FALSE,NA
M. oleifera,roots,T. congolense,100mg/ml,100,Pre-Infection,49.9,FALSE,NA
M. oleifera,roots,T. congolense,100mg/ml,100,Infection,53,FALSE,NA
M. oleifera,roots,T. congolense,100mg/ml,100,Post-Infection,53.2,FALSE,NA
M. oleifera,roots,T. congolense,10mg/ml,10,Pre-Infection,49.6,FALSE,NA
M. oleifera,roots,T. congolense,10mg/ml,10,Infection,51,FALSE,NA
M. oleifera,roots,T. congolense,10mg/ml,10,Post-Infection,51,FALSE,NA
M. oleifera,roots,T. congolense,0.5mg/ml,0.5,Pre-Infection,52,FALSE,NA
M. oleifera,roots,T. congolense,0.5mg/ml,0.5,Infection,51,FALSE,NA
M. oleifera,roots,T. congolense,0.5mg/ml,0.5,Post-Infection,50,FALSE,NA
M. oleifera,roots,T. congolense,0.01mg/ml,0.01,Pre-Infection,51.1,FALSE,NA
M. oleifera,roots,T. congolense,0.01mg/ml,0.01,Infection,50,FALSE,NA
